Old Method Name,New Method Name
isDeclaredAsAbstract,func_checkIfDeclaredAsAbstract
visitClass,func_processClassDetails
visitCtor,func_processConstructorVisibility
registerAnonymousInnerClass,func_markWithAnonymousInnerClass
getClassDeclarationNameMatchingCountDiff,func_calculateDeclarationNameMatchingCountDifference
beginTree,func_initializeTree
leaveToken,func_handleClassDefsAndInnerClasses
getClassAst,func_getClassAst
getQualifiedName,func_retrieveQualifiedName
isWithAnonymousInnerClass,func_checkIfWithAnonymousInnerClass
getDepth,func_calculateDepth
doesNameOfClassMatchAnonymousInnerClassName,func_checkClassNameMatch
shouldBeDeclaredAsFinal,func_checkIfFinalModifierNeeded
